"jS_mouseID","jS_sex","jS_lon","jS_lat","jS_year","jS_BMI","jS_HI","jS_Ntrapped","ID","imperv","tcd","clc","swf_perc","dist_road","dist_path","prec_aug_2015","prec_aug_2016","prec_aug_2017","prec_aug_2018","soil_moist","soil_ph","CATO","PITO","POTO","cat_dens","pig_dens","pou_dens","gem_char","clc_fct"
"SK_3007","M",12.0689,48.8558,"2015",0.106345046060209,0.7,2,36,11.3100004196167,4.30000019073486,"211",0,53.6366386413574,64.6775817871094,34.4557914733887,49.2208480834961,103.237205505371,54.1264038085938,102.962944030762,5.95683145523071,0.640521645545959,0.0340447910130024,0.000135555805172771,0.113630637526512,0.00603965763002634,0.0240480452775955,"09273141","3"
"AA_0076","M",13.7072,52.2422,"2016",2.49230220156274,0.05,1,37,62.8400001525879,3.61999988555908,"112",0,12.2854232788086,258.604095458984,37.952320098877,37.2333297729492,65.5731735229492,10,88,5.87412881851196,0.0829539373517036,0.00155612896196544,0.0497434139251709,0.00609570322558284,0.000114349008072168,3.65529465675354,"12061217","2"
"AA_0660","F",14.1414,53.0783,"2018",0.446122620564899,0.84,14,38,7.65000009536743,0,"112",9,63.8303489685059,318.106231689453,26.014669418335,47.6559638977051,59.3956604003906,12.4641408920288,91.6989593505859,6.95007133483887,0.298691153526306,0.450649976730347,0.0634732320904732,0.0668743327260017,0.100896582007408,14.2111005783081,"12073386","2"
"AA_0061","M",13.5994,52.2731,"2016",-0.87552642044736,0,2,39,8.26000022888184,45.7799987792969,"313",30,79.2605743408203,26.4818744659424,38.211669921875,36.3556137084961,64.1016387939453,6.99801254272461,88,NA,0.32527357339859,0.0150937316939235,0.253844559192657,0.0328002460300922,0.00152203603647649,25.5974178314209,"12061332","4"
"AA_0353","F",13.4408,53.0497,"2017",-0.955037999086581,0.68,14,40,60.8400001525879,3.14000010490417,"112",0,23.9181709289551,118.092124938965,42.1488952636719,38.2435302734375,54.139331817627,18.4349002838135,92.2370071411133,NA,0.952517688274384,1.43391013145447,0.209324076771736,0.0251369290053844,0.0378408692777157,5.5240592956543,"12073572","2"
"SK_2976","M",12.3836,49.0664,"2015",-2.76355942133532,0.42,7,41,23.5900001525879,0,"211",0,15.8036270141602,65.7864990234375,54.7582702636719,62.1403541564941,116.760665893555,56.0604286193848,104.902252197266,6.0301718711853,1.02594614028931,0.00723065715283155,3.35459590132814e-05,0.336113542318344,0.00236885901540518,0.0109901009127498,"09375120","3"
"SK_3150","F",13.3994,52.7969,"2015",0.940382968752926,0,2,42,13.2399997711182,0,"211",0,91.8692855834961,47.8807563781738,42.7154159545898,37.1972389221191,61.2006950378418,16.3255443572998,90.424430847168,6.18614149093628,0.140977710485458,0.00040861259913072,0.0283319819718599,0.00857078656554222,2.4841736376402e-05,1.722452044487,"12065256","3"
"AA_0303","M",13.8675,52.2428,"2017",0.831518355000775,0.2,7,43,50.0200004577637,4.53000020980835,"112",0,19.5165863037109,232.118392944336,33.5533447265625,38,66.4584808349609,12,87.5531616210938,5.87880849838257,0.391730159521103,0.000116356575745158,3.01401376724243,0.0217231214046478,6.45247246211511e-06,167.140029907227,"12067481","2"
"AA_0502","M",11.6069,53.9405,"2017",-1.30215905544375,0.94,7,44,30.5,0,"121",20,17.6912326812744,67.2136459350586,68.4612274169922,32,45.5169639587402,80.9301605224609,100,6.65794610977173,0.824423670768738,0.0109763247892261,0.0298039652407169,0.187587901949883,0.00249753333628178,6.78154134750366,"13058073","1"
"AA_0450","F",13.6506,53.2108,"2017",-2.22116518232649,0.96,5,45,0,0.529999971389771,"112",6,71.6080017089844,1056.02282714844,25.3068294525146,27.4250736236572,37.306827545166,15.9321718215942,94.7502136230469,6.47007846832275,0.0856778174638748,0.0383082963526249,0.0409117229282856,0.0371099784970284,0.016592625528574,17.7202587127686,"12073404","2"
"SK_3026","M",12.6325,49.2508,"2015",-2.00179497164332,0.84,1,46,8,1.13999998569489,"231",5,24.7023658752441,62.8202476501465,52.4710006713867,52.8166389465332,89.9513473510742,47.9555130004883,102.232688903809,6.67297554016113,3.14951705932617,0.156506180763245,0.0274053681641817,0.704842090606689,0.0350250937044621,6.13314867019653,"09372146","3"
"AA_0606","F",14.0806,53.0336,"2018",1.67512097996331,0.8,9,47,0,0,"211",0,26.4313259124756,581.596984863281,24.1022644042969,44.5001678466797,53.6766624450684,13.9989881515503,92,7.24931526184082,0.132863029837608,0.0593872144818306,0.0634582042694092,0.0284640565514565,0.0127228843048215,13.5950374603271,"12073505","3"
"AA_0584","M",12.6278,52.7269,"2018",0.646567471555525,0,6,48,5.32000017166138,20.3999996185303,"311",40,78.2753143310547,236.479476928711,74.4565658569336,26.1345825195312,69.8998031616211,44.3910102844238,90.5670852661133,6.55923986434937,0.542061805725098,4.36859154433478e-05,0.591653048992157,0.116082325577736,9.35532261792105e-06,126.702278137207,"12063142","4"
"AA_0456","M",13.6506,53.2108,"2017",-0.130723757713575,1,5,49,0,0.529999971389771,"112",6,71.6080017089844,1056.02282714844,25.3068294525146,27.4250736236572,37.306827545166,15.9321718215942,94.7502136230469,6.47007846832275,0.0856778174638748,0.0383082963526249,0.0409117229282856,0.0371099784970284,0.016592625528574,17.7202587127686,"12073404","2"
"AA_0649","M",13.2144,53.1514,"2018",1.14837968754976,0.65,15,50,37.2099990844727,0,"112",0,73.8466033935547,232.88703918457,50.6054039001465,36.8394432067871,59.6054039001465,25.9978694915771,93.7740859985352,5.67053747177124,0.000240711160586216,7.25991731087561e-06,5.60886765015312e-05,1.12378320409334e-05,3.3893624618031e-07,0.00261855381540954,"12065084","2"
"AA_0555","F",14.0908,52.8328,"2018",-0.538885582443033,0.88,5,51,71.5,1.3400000333786,"112",0,26.939790725708,144.924758911133,39.3800735473633,40.0014839172363,60.5314483642578,6,88,6.73444080352783,2.81315588951111,0.0907081663608551,0.000169543141964823,0.214459255337715,0.0069150822237134,0.0129250194877386,"12064044","2"
"AA_0535","M",13.2829,52.9574,"2018",0.743387890557686,0.15,4,52,71.5699996948242,0.439999997615814,"121",8,52.0529556274414,633.305603027344,49.934684753418,40.8499221801758,58.9345359802246,15.9748773574829,92.9592514038086,6.52810335159302,3.41104459762573,0.0392261631786823,0.0959925428032875,0.152729421854019,0.00175635027699172,4.29806327819824,"12065356","1"
"AA_0324","F",13.4622,53.1119,"2017",-1.91237356828021,0.84,2,53,52.2700004577637,0.689999997615814,"121",4,16.2474250793457,109.685562133789,36.0175132751465,32.9772453308105,46.8784828186035,20.7005729675293,93.0227890014648,6.33546447753906,0.952517688274384,1.43391013145447,0.209324076771736,0.0251369290053844,0.0378408692777157,5.5240592956543,"12073572","1"
"SK_3095","M",14.1625,52.7508,"2015",1.47302216615567,0.85,1,54,36.2999992370605,5.09000015258789,"112",40,15.7734699249268,339.233673095703,45.9287757873535,38.9987602233887,63.4908638000488,5.00076961517334,87,6.96133661270142,0.545795977115631,0.0857158526778221,0.986383676528931,0.0836265087127686,0.0131333274766803,151.133071899414,"12064371","2"
"AA_0250","M",13.6025,52.2225,"2017",-2.06503187220384,0,11,55,45.5800018310547,24.8799991607666,"121",0,68.2418746948242,126.818565368652,40.1329612731934,35.7503089904785,64.9592895507812,9.33948612213135,88.2090301513672,4.97213220596313,5.62238928978331e-05,4.66095400497579e-07,7.93035542301368e-06,1.49616516864626e-05,1.24031913628642e-07,0.00211033434607089,"12061020","1"
"AA_0066","F",13.4642,52.4164,"2016",-0.381424325436545,0.12,7,56,0,0,"231",0,80.5912246704102,48.6398468017578,29.9231662750244,36.8805694580078,65.0487213134766,7.74145650863647,88.8637619018555,NA,0.00144297431688756,0.000794871477410197,0.0442729666829109,0.00017622546874918,9.70749097177759e-05,5.40690469741821,"12061433","3"
"SK_3171","F",13.4636,52.9156,"2015",1.64442089144565,0.08,2,57,45.7200012207031,0.28999999165535,"112",8,54.8277168273926,96.2920150756836,43.7892303466797,45.4526824951172,63.3528480529785,14.999529838562,91.1839370727539,4.92132425308228,2.58246850967407,0.0293844472616911,0.0732428804039955,0.182930991053581,0.00208146823570132,5.1882119178772,"12065193","2"
"SK_2952","M",12.2875,49.6044,"2015",4.03052626765963,0.25,4,58,9.42000007629395,0,"112",0,16.6773319244385,200.462646484375,51.3670463562012,38.4331474304199,95.2398910522461,32.3273048400879,103.075164794922,5.80701589584351,1.38522958755493,0.0662389248609543,0.00711655803024769,0.428663343191147,0.020497826859355,2.2022397518158,"09374132","2"
"SK_3200","M",13.6025,52.2225,"2015",0.667791537652423,0,8,59,45.5800018310547,24.8799991607666,"121",0,68.2418746948242,126.818565368652,40.1329612731934,35.7503089904785,64.9592895507812,9.33948612213135,88.2090301513672,4.97213220596313,5.62238928978331e-05,4.66095400497579e-07,7.93035542301368e-06,1.49616516864626e-05,1.24031913628642e-07,0.00211033434607089,"12061020","1"
"AA_0342","F",13.4589,53.1247,"2017",1.22161046122753,0.84,4,60,43.9799995422363,6.42000007629395,"121",0,23.5748672485352,174.321441650391,36.023998260498,33.1452369689941,46.4634475708008,21.0402221679688,93.0127716064453,6.5384407043457,0.952517688274384,1.43391013145447,0.209324076771736,0.0251369290053844,0.0378408692777157,5.5240592956543,"12073572","1"
"AA_0359","M",13.4864,53.1275,"2017",-1.06984288312009,0.95,7,61,49.9300003051758,0.419999986886978,"121",0,82.9981155395508,55.4482460021973,33.6309776306152,32.4775848388672,44.7458000183105,19.6522178649902,93.7398986816406,NA,0.952517688274384,1.43391013145447,0.209324076771736,0.0251369290053844,0.0378408692777157,5.5240592956543,"12073572","1"
